,born,year,meter,lang,X,Y
38137,1859.0,1904.0,I4_3,cs,3.1393545,3.449543
58193,1856.0,1892.0,I4_3,cs,3.0849404,3.539857
51760,1804.0,1869.0,I4_3,cs,3.2493565,3.5483015
58273,1807.0,1876.0,I4_3,cs,3.0222495,3.3430877
55969,1853.0,1897.0,I5,cs,3.1324232,3.5624456
39069,1864.0,1912.0,I5,cs,3.460293,4.562349
57296,1853.0,1905.0,I5,cs,3.4872906,5.0726085
38176,1877.0,1899.0,I5,cs,2.849342,3.6525564
60356,1861.0,1884.0,I5,cs,3.107463,4.84204
43122,1864.0,1898.0,I5,cs,3.1643052,3.786562
58587,1868.0,1889.0,I5,cs,3.5085547,4.4894547
40647,1864.0,1921.0,I5,cs,3.525356,4.9451528
62402,1872.0,1909.0,I5,cs,3.2978926,4.5139055
55426,1853.0,1888.0,I5,cs,3.5242481,5.050363
55007,1853.0,1930.0,I5,cs,3.7247782,4.888266
61484,1846.0,1884.0,I5,cs,3.0201437,3.3380542
39064,1864.0,1912.0,I5,cs,3.6585894,4.510053
33324,1859.0,1899.0,I5,cs,3.5470717,4.9715724
53145,1822.0,1858.0,I5,cs,3.4004726,4.634043
39997,1864.0,1927.0,I5,cs,3.1575098,3.9273624
33620,1859.0,1893.0,I5,cs,3.6037295,5.0163746
54689,1853.0,1889.0,I5,cs,3.5114882,4.811776
47053,1833.0,1859.0,I5,cs,3.5202901,4.9194164
57813,1853.0,1886.0,I5,cs,3.5718882,5.139463
61227,1890.0,1914.0,I5,cs,3.137762,3.1621406
60426,1861.0,1903.0,I5,cs,3.0937834,3.803113
33610,1859.0,1893.0,I5,cs,3.2922919,4.6405706
35038,1866.0,1897.0,I5,cs,3.5731714,4.866415
49498,1845.0,1909.0,I5,cs,2.5594032,4.9791484
55499,1853.0,1898.0,I5,cs,3.4634457,4.884548
34510,1866.0,1892.0,I5,cs,3.7101245,5.0162153
47089,1833.0,1859.0,I5,cs,3.71759,4.6163545
59037,1840.0,1868.0,I5,cs,3.0102153,3.2030878
60388,1861.0,1884.0,I5,cs,3.6375594,5.0631986
61311,1883.0,1934.0,I5,cs,3.4350903,4.5962987
34363,1866.0,1919.0,I5,cs,2.816421,3.632554
38951,1864.0,1911.0,I5,cs,3.65051,4.962746
54638,1853.0,1897.0,I5,cs,3.6524258,4.9316416
31258,1835.0,1871.0,I5,cs,3.0220058,3.689998
34731,1866.0,1907.0,I5,cs,3.6046472,4.984735
65980,1880.0,1911.0,I5,cs,2.9542813,3.7259781
47008,1833.0,1859.0,I5,cs,3.6054718,4.660617
64935,,1909.0,I5,cs,3.7423723,4.931334
58801,1841.0,1886.0,I5,cs,2.615371,4.266107
43442,1859.0,1893.0,I5,cs,3.7214656,4.8696675
35082,1866.0,1932.0,I5,cs,3.4365213,5.072546
26439,1877.0,1915.0,I5,cs,3.1016443,4.445654
39270,1864.0,1887.0,I5,cs,3.8012214,4.926069
30772,1835.0,1905.0,I5,cs,3.4849546,5.0575986
52993,1847.0,1897.0,I5,cs,3.5542753,5.2126083
41969,1864.0,1892.0,I5,cs,3.018334,3.8087513
65027,1867.0,1958.0,I5,cs,3.7579737,4.7997932
30611,1835.0,1901.0,I5,cs,3.1576986,4.6537323
54490,1853.0,1906.0,I5,cs,3.110731,3.5225766
64460,1876.0,1912.0,I5,cs,3.476514,4.676423
34304,1866.0,1913.0,I5,cs,3.220658,4.6794705
53819,1853.0,1891.0,I5,cs,3.7157366,4.994954
60695,1838.0,1868.0,I5,cs,3.2913947,4.9123588
25394,1871.0,1912.0,I5,cs,3.3521042,4.392217
40997,1864.0,1894.0,I5,cs,3.7807715,4.5740557
56879,1853.0,1883.0,I5,cs,3.6560266,5.1208024
59728,1868.0,1934.0,I5,cs,3.6878095,5.0818872
54936,1853.0,1908.0,I5,cs,2.9822986,4.179599
64059,1883.0,1933.0,I5,cs,3.0414555,4.226536
57632,1853.0,1908.0,I5,cs,3.7598128,4.7840996
43118,1864.0,1898.0,I5,cs,2.944828,4.5414753
57453,1853.0,1902.0,I5,cs,2.7930117,4.097433
26321,1877.0,1927.0,I5,cs,2.8709514,3.986996
62055,1873.0,1907.0,I5,cs,2.8558486,4.044498
33410,1859.0,1905.0,I5,cs,3.2763083,4.0659437
60566,1860.0,1882.0,I5,cs,3.5063624,5.0496674
31006,1874.0,1894.0,I5,cs,3.5855138,5.0858145
44907,1875.0,1937.0,I5,cs,2.7472134,3.9437742
45769,1849.0,1904.0,I5,cs,3.692355,4.880065
66705,1883.0,1917.0,I5,cs,3.2445717,4.464513
26186,1858.0,1936.0,I5,cs,3.4276903,4.4597716
24142,1867.0,1904.0,I5,cs,2.8077316,4.066872
56980,1853.0,1900.0,I5,cs,3.4483223,4.509922
41058,1864.0,1911.0,I5,cs,3.527258,4.881532
53992,1853.0,1883.0,I5,cs,3.6940696,5.062302
47485,1833.0,1859.0,I5,cs,3.5217867,4.944249
29817,1835.0,1902.0,I5,cs,3.303787,4.7760286
61614,1846.0,1890.0,I5,cs,3.1740587,4.3043594
39712,1864.0,1927.0,I5,cs,3.5161965,4.9533353
62544,1873.0,1919.0,I5,cs,3.4046118,4.894808
43503,1859.0,1893.0,I5,cs,3.6940134,5.0173984
62123,1885.0,1902.0,I5,cs,2.8852994,3.901547
36464,1847.0,1889.0,I5,cs,3.5550244,4.8037553
63263,1884.0,1913.0,I5,cs,3.5126352,5.0549645
56011,1853.0,1897.0,I5,cs,3.4159174,5.0400095
61370,1883.0,1919.0,I5,cs,3.4327304,4.706012
